topic,topic_vi,text_en,text_vi,level,image
Math - Algebra,Toán - Đại số,algebra,đại số,2,
Math - Algebra,Toán - Đại số,variable,biến số,2,
Math - Algebra,Toán - Đại số,constant,hằng số,2,
Math - Algebra,Toán - Đại số,coefficient,hệ số,2,
Math - Algebra,Toán - Đại số,expression,biểu thức,2,
Math - Algebra,Toán - Đại số,equation,phương trình,2,
Math - Algebra,Toán - Đại số,inequality,bất phương trình,2,
Math - Algebra,Toán - Đại số,function,hàm số,2,
Math - Algebra,Toán - Đại số,linear,tuyến tính,2,
Math - Algebra,Toán - Đại số,quadratic,bậc hai,2,
Math - Algebra,Toán - Đại số,polynomial,đa thức,2,
Math - Algebra,Toán - Đại số,monomial,đơn thức,2,
Math - Algebra,Toán - Đại số,binomial,nhị thức,2,
Math - Algebra,Toán - Đại số,trinomial,tam thức,2,
Math - Algebra,Toán - Đại số,factor,thừa số,2,
Math - Algebra,Toán - Đại số,substitute,thay thế,2,
Math - Algebra,Toán - Đại số,evaluate,tính giá trị,2,
Math - Algebra,Toán - Đại số,unknown,ẩn số,2,
Math - Algebra,Toán - Đại số,formula,công thức,2,
Math - Algebra,Toán - Đại số,slope,độ dốc,2,
Math - Algebra,Toán - Đại số,intercept,giao điểm,2,
Math - Algebra,Toán - Đại số,coordinate,tọa độ,2,
Math - Algebra,Toán - Đại số,axis,trục,2,
Math - Algebra,Toán - Đại số,origin,gốc tọa độ,2,
Math - Algebra,Toán - Đại số,domain,tập xác định,2,
Math - Algebra,Toán - Đại số,range,tập giá trị,2,
Math - Algebra,Toán - Đại số,input,đầu vào,2,
Math - Algebra,Toán - Đại số,output,đầu ra,2,
Math - Geometry,Toán - Hình học,perimeter,chu vi,2,
Math - Geometry,Toán - Hình học,surface area,diện tích bề mặt,2,
Math - Geometry,Toán - Hình học,circumference,chu vi hình tròn,2,
Math - Geometry,Toán - Hình học,diameter,đường kính,2,
Math - Geometry,Toán - Hình học,radius,bán kính,2,
Math - Geometry,Toán - Hình học,pi,số pi,2,
Math - Geometry,Toán - Hình học,prism,hình lăng trụ,2,
Math - Geometry,Toán - Hình học,polygon,đa giác,2,
Math - Geometry,Toán - Hình học,quadrilateral,tứ giác,2,
Math - Geometry,Toán - Hình học,parallelogram,hình bình hành,2,
Math - Geometry,Toán - Hình học,rhombus,hình thoi,2,
Math - Geometry,Toán - Hình học,trapezoid,hình thang,2,
Math - Geometry,Toán - Hình học,symmetry,tính đối xứng,2,
Math - Geometry,Toán - Hình học,congruent,bằng nhau (hình),2,
Math - Geometry,Toán - Hình học,similar,đồng dạng,2,
Math - Geometry,Toán - Hình học,rotation,phép quay,2,
Math - Geometry,Toán - Hình học,reflection,phản chiếu,2,
Math - Geometry,Toán - Hình học,translation,phép tịnh tiến,2,
Math - Geometry,Toán - Hình học,transformation,biến hình,2,
Math - Geometry,Toán - Hình học,hypotenuse,cạnh huyền,2,
Math - Geometry,Toán - Hình học,pythagorean theorem,định lý Pitago,2,
Math - Statistics,Toán - Thống kê,statistics,thống kê,2,
Math - Statistics,Toán - Thống kê,probability,xác suất,2,
Math - Statistics,Toán - Thống kê,average,trung bình,2,
Math - Statistics,Toán - Thống kê,mean,giá trị trung bình,2,
Math - Statistics,Toán - Thống kê,median,trung vị,2,
Math - Statistics,Toán - Thống kê,mode,yếu vị,2,
Math - Statistics,Toán - Thống kê,frequency,tần số,2,
Math - Statistics,Toán - Thống kê,outcome,kết quả,2,
Math - Statistics,Toán - Thống kê,likely,có khả năng,2,
Math - Statistics,Toán - Thống kê,unlikely,không chắc,2,
Math - Statistics,Toán - Thống kê,certain,chắc chắn,2,
Math - Statistics,Toán - Thống kê,impossible,không thể,2,
Math - Statistics,Toán - Thống kê,random,ngẫu nhiên,2,
Math - Arithmetic,Toán - Số học,prime number,số nguyên tố,2,
Math - Arithmetic,Toán - Số học,composite number,hợp số,2,
Math - Arithmetic,Toán - Số học,square number,số chính phương,2,
Math - Arithmetic,Toán - Số học,cube number,số lập phương,2,
Math - Arithmetic,Toán - Số học,square root,căn bậc hai,2,
Math - Arithmetic,Toán - Số học,cube root,căn bậc ba,2,
Math - Arithmetic,Toán - Số học,exponent,số mũ,2,
Math - Arithmetic,Toán - Số học,power,lũy thừa,2,
Math - Arithmetic,Toán - Số học,base,cơ số,2,
Math - Arithmetic,Toán - Số học,multiple,bội số,2,
Math - Arithmetic,Toán - Số học,common factor,ước chung,2,
Math - Arithmetic,Toán - Số học,greatest common factor,ước chung lớn nhất,2,
Math - Arithmetic,Toán - Số học,least common multiple,bội chung nhỏ nhất,2,
Math - Arithmetic,Toán - Số học,ratio,tỉ số,2,
Math - Arithmetic,Toán - Số học,rate,tỉ lệ,2,
Math - Arithmetic,Toán - Số học,proportion,tỉ lệ thức,2,
Math - Arithmetic,Toán - Số học,positive,dương,2,
Math - Arithmetic,Toán - Số học,negative,âm,2,
Math - Arithmetic,Toán - Số học,absolute value,giá trị tuyệt đối,2,
Math - Arithmetic,Toán - Số học,integer,số nguyên,2,
Math - Arithmetic,Toán - Số học,consecutive,liên tiếp,2,
Math - Arithmetic,Toán - Số học,estimation,ước lượng,2,
Math - Arithmetic,Toán - Số học,rounding,làm tròn,2,
Math - Arithmetic,Toán - Số học,factor pair,cặp thừa số,2,
Math - Arithmetic,Toán - Số học,percent change,phần trăm thay đổi,2,
Math - Reasoning,Toán - Tư duy,reasoning,suy luận,2,
Math - Reasoning,Toán - Tư duy,logic,logic,2,
Math - Reasoning,Toán - Tư duy,proof,chứng minh,2,
Math - Reasoning,Toán - Tư duy,theorem,định lý,2,
Math - Reasoning,Toán - Tư duy,conjecture,phỏng đoán,2,
Math - Reasoning,Toán - Tư duy,assume,giả sử,2,
Math - Reasoning,Toán - Tư duy,conclude,kết luận,2,
Math - Reasoning,Toán - Tư duy,determine,xác định,2,
Math - Reasoning,Toán - Tư duy,identify,nhận dạng,2,
Math - Reasoning,Toán - Tư duy,classify,phân loại,2,
Math - Reasoning,Toán - Tư duy,represent,biểu diễn,2,
Math - Reasoning,Toán - Tư duy,analyze,phân tích,2,
Math - Reasoning,Toán - Tư duy,justify,giải thích,2,
Math - Reasoning,Toán - Tư duy,contrast,đối chiếu,2,
Math - Reasoning,Toán - Tư duy,relationship,mối quan hệ,2,
Math - Reasoning,Toán - Tư duy,property,tính chất,2,
Math - Reasoning,Toán - Tư duy,method,phương pháp,2,
